id,name,country,collab_score,broadcast_score,commerce_score,followers_num,median_views_num,engagement_pct,price_num,field_tags,video_tags,cpv,view_rate_pct,creator_segment,price_tier,potential_group
_imngnn,Hoàng Ngân,Việt Nam,77.65,94.4,,932600.0,240750.0,8.094999999999999,2615895.0,Tin tức và Giải trí,Nhảy,10.865607476635514,25.814926013296162,Macro,Low,Cost-efficient
_inlil,Chang Nguyễn -INLIL 💕,Việt Nam,77.1,93.8,,2300000.0,72150.0,5.67,4287996.0,"Làm đẹp và chăm sóc cá nhân, Mỹ phẩm",Hướng dẫn & mẹo làm đẹp,59.43168399168399,3.13695652173913,Mega,Low,General / Low Priority
_khaihuyen_89,🇻🇳Khải Huyền🇻🇳,Việt Nam,78.1,92.7,,2300000.0,20800.0,3.93,630208.0,,"Cuộc sống hàng ngày, Công việc & Sự nghiệp, Tin tức xã hội & Sự kiện",30.298461538461538,0.9043478260869564,Mega,Low,General / Low Priority
_killusion.miv.co,KILLUSION,Việt Nam,73.25,,,1600000.0,21700.0,2.105,1740072.0,,"Cuộc sống hàng ngày, Nhảy, Âm nhạc",80.18764976958525,1.35625,Mega,Low,General / Low Priority
_laudaitinhai261106_,im fifteen 👁️👄👁️💅,Việt Nam,77.55000000000001,93.35,,503200.0,146000.0,11.86,10080116.0,,,69.0418904109589,29.014308426073132,Macro,Medium,General / Low Priority
_littledav_,David Nguyen Jr.,Việt Nam,80.4,93.7,,439300.0,585600.0,9.81,41083363.0,,"Cuộc sống hàng ngày, Hài kịch, Trò chơi không phải điện tử",70.15601605191257,133.302982016845,Mid-tier,High,General / Low Priority
_macuchoa_,Mạc Úc Hoa,Việt Nam,78.4,96.5,,257899.99999999997,104900.0,12.45,1504904.0,Tin tức và Giải trí,"Nhảy, Ảnh tự chụp",14.3460819828408,40.67468010856922,Mid-tier,Low,General / Low Priority
_namnamnamm,NGÔI SAO PHƯƠNG NAMM,Việt Nam,90.19999999999999,94.4,94.4,588700.0,95500.0,7.609999999999999,3500000.0,"Mẹ & Bé, Thương mại điện tử (không dùng ứng dụng), Tin tức và Giải trí","Cuộc sống hàng ngày, Hài kịch, Phim ảnh & Truyền hình, Trang phục",36.64921465968586,16.22218447426533,Macro,Low,Collab-ready
_ngadangiuvocungluon_,xính lao,Việt Nam,93.65,97.9,91.2,556500.0,168500.0,15.24,5000000.0,,"Hát nhép, Hướng dẫn & mẹo làm đẹp, Nhảy",29.673590504451038,30.2785265049416,Macro,Medium,Collab-ready
_ngth_hngoc08,Kuromi,Việt Nam,80.7,95.9,,349100.0,28100.0,12.36,3749125.0,,"Hát nhép, Nhảy, Trang phục",133.42081850533808,8.049269550272129,Mid-tier,Low,Collab-ready
_ngtragn.30.07_,Ng Trang,Việt Nam,73.6,,,320500.0,45100.0,8.57,608370000.0,,"Hát nhép, Ảnh tự chụp",13489.356984478936,14.07176287051482,Mid-tier,Premium,General / Low Priority
_nhitg_,Nhi Tăng 💖,Việt Nam,78.5,95.2,,731300.0,71700.0,3.16,1010552.0,"Làm đẹp và chăm sóc cá nhân, Sản phẩm chăm sóc cá nhân và làm đẹp khác","Cuộc sống hàng ngày, Khám phá nhà hàng",14.094170153417016,9.804457814850267,Macro,Low,General / Low Priority
_only.ctha,Bông,Việt Nam,80.7,97.9,,309400.0,119700.0,12.63,6096256.0,,"Hát nhép, Hướng dẫn & mẹo làm đẹp",50.929456975772766,38.68778280542987,Mid-tier,Medium,Collab-ready
_pham_bich_nga_,Chuyện Nhà Em Sóc 🐿️,Việt Nam,76.35,95.8,,803500.0,235650.0,4.325,10982209.0,"Chăm sóc da, Làm đẹp và chăm sóc cá nhân, Sản phẩm gia dụng","Gia đình, Trang phục",46.603899851474644,29.327940261356567,Macro,Medium,General / Low Priority
_pupunpurin,Tên của tớ là Pun 𝜗𝜚,Việt Nam,80.1,91.6,,2000000.0,1800000.0,7.46,50000000.0,,"Cuộc sống hàng ngày, Hướng dẫn & mẹo làm đẹp, Nhảy",27.77777777777778,90.0,Mega,Premium,General / Low Priority
