ID,Name,Country,Collab Score,Broadcast Score,Commerce Score,Followers,Median Views,Engagement,Price,Field Tags,Video Tags
dongmauviet.official,Dòng Máu Việt,Việt Nam,79.4,95.8,N/A,"3,2M","55,7K","12,29%",300.000 VND,,Nhân văn & Khoa học
ban_nhac_suy,🎶 𝑩𝒂̉𝒏 𝑵𝒉𝒂̣𝒄 𝑺𝒖𝒚 🎶,Việt Nam,76.8,N/A,N/A,"786,8K","26,6K","5,23%",200.000 VND,,Âm nhạc
bichla_2k3,Bích Laa,Việt Nam,78.6,90.2,N/A,"837,6K","244,2K","3,84%",30.000.000 VND,"Làm đẹp và chăm sóc cá nhân, Sản phẩm chăm sóc cá nhân và làm đẹp khác","Cuộc sống hàng ngày, Hài kịch, Ảnh tự chụp"
binyetvlog,Bin Yet quãi đạn 📸,Việt Nam,76.2,90.2,N/A,"1,6M","920,6K","4,52%",2.216.304 VND,"Làm đẹp và chăm sóc cá nhân, Chăm sóc da",Hài kịch
spicykim9386,Spicy Kim,Việt Nam,76.0,N/A,N/A,"2,9M","324,4K","5,34%",17.802.133 VND,Thực phẩm và Đồ uống,"Mukbang & Nếm thức ăn, Nấu ăn & Công thức nấu ăn"
muoitoday,Muội Today,Việt Nam,86.6,N/A,92.8,"1,6M","221,6K","4,54%",15.000.000 VND,,
hmeuu,Huyen Nguyen,Việt Nam,93.4,97.2,98.4,"1,2M","276,4K","5,74%",20.990.756 VND,"Thiết bị, Thương mại điện tử (không dùng ứng dụng), May mặc & Phụ kiện, Quần áo nữ","Trang phục, Hướng dẫn & mẹo làm đẹp"
po.trann77,Trần Thanh Tâm,Việt Nam,81.6,93.0,N/A,"4,7M","361,2K","6,25%",38.483.811 VND,"Làm đẹp và chăm sóc cá nhân, Thương mại điện tử (không dùng ứng dụng), Dịch vụ đời sống, Sản phẩm chăm sóc cá nhân và làm đẹp khác",Gia đình
legiaquan.founder93newg,LÊ GIA QUÂN,Việt Nam,76.4,N/A,N/A,"1,1M","76,3K","3,76%",2.160.991 VND,,Âm nhạc
lethikhanhhuyen2004,Lê Thị Khánh Huyền,Việt Nam,81.8,96.5,N/A,"7,4M","1,5M","5,36%",160.000.000 VND,,Hướng dẫn & mẹo làm đẹp
vnexpress.official,VnExpress.net,Việt Nam,76.6,N/A,N/A,"3,2M","131,9K","2,97%",10.271.328 VND,"Sức khỏe, Tin tức và Giải trí",Tin tức xã hội & Sự kiện
thaodangyeuuu04,NTヽMèoSợYêu❀,Việt Nam,93.8,94.4,94.4,"4,5M","728,7K","9,96%",25.000.000 VND,"Sức khỏe, Làm đẹp và chăm sóc cá nhân, Dưỡng tóc",Trò chơi điện tử
littlequanzz,con Cò đây,Việt Nam,83.0,97.2,N/A,"1,1M","432,4K","8,76%",40.567.250 VND,"Ứng dụng, Làm đẹp và chăm sóc cá nhân, Thương mại điện tử (không dùng ứng dụng), Sản phẩm chăm sóc cá nhân và làm đẹp khác","Hài kịch, Gia đình, Cuộc sống hàng ngày"
neko.land23,Neko Lê 👑,Việt Nam,72.4,N/A,N/A,"1,5M","199,6K","4,82%",13.147.500 VND,"Công nghệ & Đồ điện tử, Làm đẹp và chăm sóc cá nhân, Thương mại điện tử (không dùng ứng dụng), Mỹ phẩm","Âm nhạc, Hài kịch"
nhien1308,Hạ Nhiên,Việt Nam,88.7,92.4,N/A,"1,6M","67,5K","4,79%",8.000.000 VND,,"Gia đình, Hướng dẫn & mẹo làm đẹp"
hanh.ey,Hạnh Em Yêu,Việt Nam,76.8,91.7,N/A,"2,1M","135,4K","5,05%",5.000.000 VND,"Tin tức và Giải trí, Làm đẹp và chăm sóc cá nhân, Chăm sóc da",Nhảy
shengyucapcut,𝑺𝒉𝒆𝒏𝒈𝒀𝒖,Việt Nam,76.9,N/A,N/A,"764,2K","21,6K","8,80%",3.311.820 VND,"May mặc & Phụ kiện, Phụ kiện quần áo",Âm nhạc
rubytv167,Ruby Đẹp Trai,Việt Nam,97.9,98.6,100.0,"1,1M","100,3K","16,74%",9.000.000 VND,,"Trang phục, Hướng dẫn & mẹo làm đẹp"
beanknight.dance,PikaFamily🇻🇳,Việt Nam,87.0,N/A,N/A,"1,1M","33,1K","3,15%",3.000.000 VND,"Thiết bị, Làm đẹp và chăm sóc cá nhân, Mẹ & Bé, Chăm sóc da",Nhảy
adorima_,Dori,Việt Nam,81.8,97.2,N/A,1M,"416,7K","8,19%",4.000.000 VND,,
